Vehicle{plate='AFY-7604', expDate=2018-02-26}
Vehicle{plate='FOQ-9961', expDate=2018-01-16}
Vehicle{plate='FQI-2777', expDate=2018-05-05}
Vehicle{plate='GAE-7950', expDate=2017-11-29}
Vehicle{plate='GBO-7854', expDate=2017-09-01}
Vehicle{plate='GGP-2199', expDate=2018-08-28}
Vehicle{plate='GKW-9029', expDate=2017-05-25}
Vehicle{plate='GNJ-2877', expDate=2018-08-20}
Vehicle{plate='GNV-8234', expDate=2017-03-19}
Vehicle{plate='GQL-1046', expDate=2018-04-02}
Vehicle{plate='GZK-5996', expDate=2017-05-04}
Vehicle{plate='HBJ-3379', expDate=2018-09-05}
Vehicle{plate='HMC-2034', expDate=2017-11-28}
Vehicle{plate='HNG-2545', expDate=2018-01-22}
Vehicle{plate='HTA-6505', expDate=2017-03-16}
Vehicle{plate='HWH-3514', expDate=2018-07-01}
Vehicle{plate='HXP-1803', expDate=2017-11-14}
Vehicle{plate='IBW-5177', expDate=2017-06-25}
Vehicle{plate='IFS-8561', expDate=2017-11-19}
Vehicle{plate='IFW-8039', expDate=2017-09-29}
Vehicle{plate='IHU-4090', expDate=2018-04-12}
Vehicle{plate='ILW-4029', expDate=2017-09-27}
Vehicle{plate='IRW-8098', expDate=2017-08-24}
Vehicle{plate='IZU-8912', expDate=2018-08-27}
Vehicle{plate='JDL-2597', expDate=2018-09-18}
Vehicle{plate='JEL-9252', expDate=2018-02-10}
Vehicle{plate='JIG-7760', expDate=2018-06-28}
Vehicle{plate='JRH-5141', expDate=2017-03-04}
Vehicle{plate='JUA-6454', expDate=2018-08-21}
Vehicle{plate='JUD-5653', expDate=2018-02-02}
Vehicle{plate='KBD-1853', expDate=2018-04-29}
Vehicle{plate='KFD-5592', expDate=2018-03-20}
Vehicle{plate='KIF-2834', expDate=2018-03-10}
Vehicle{plate='KIQ-8766', expDate=2017-01-08}
Vehicle{plate='KIT-1857', expDate=2018-09-14}
Vehicle{plate='KUT-4128', expDate=2017-04-06}
Vehicle{plate='KUU-6992', expDate=2018-05-22}
Vehicle{plate='KVD-2341', expDate=2018-08-08}
Vehicle{plate='KXA-9864', expDate=2018-03-12}
Vehicle{plate='KZF-4782', expDate=2018-08-17}
Vehicle{plate='LAV-9333', expDate=2017-10-08}
Vehicle{plate='LBS-7133', expDate=2017-06-24}
Vehicle{plate='LBT-1643', expDate=2018-09-13}
Vehicle{plate='LGM-4762', expDate=2017-05-06}
Vehicle{plate='LIW-2505', expDate=2018-05-17}
Vehicle{plate='LKG-3944', expDate=2018-06-14}
Vehicle{plate='LRH-9082', expDate=2018-03-04}
Vehicle{plate='LXH-7157', expDate=2017-08-15}
Vehicle{plate='MLH-5772', expDate=2017-02-07}
Vehicle{plate='MRR-8031', expDate=2017-09-09}
Vehicle{plate='MSD-7009', expDate=2017-05-17}
Vehicle{plate='MWL-5126', expDate=2017-02-17}
Vehicle{plate='NAP-1112', expDate=2018-07-31}
Vehicle{plate='NBT-1009', expDate=2017-01-23}
Vehicle{plate='NCC-6679', expDate=2018-05-25}
Vehicle{plate='NFL-5178', expDate=2017-11-18}
Vehicle{plate='NIT-8856', expDate=2018-07-15}
Vehicle{plate='NSG-8429', expDate=2017-12-25}
Vehicle{plate='NUE-8822', expDate=2017-03-01}
Vehicle{plate='NWH-6573', expDate=2017-04-24}
Vehicle{plate='NYO-5452', expDate=2017-04-13}
Vehicle{plate='NYP-7032', expDate=2018-04-24}
Vehicle{plate='NZZ-6148', expDate=2017-06-10}
Vehicle{plate='OKS-9933', expDate=2018-04-05}
Vehicle{plate='OLN-9117', expDate=2017-05-09}
Vehicle{plate='OPH-7930', expDate=2017-11-10}
Vehicle{plate='OPN-2542', expDate=2018-05-14}
Vehicle{plate='OQO-1690', expDate=2018-05-05}
Vehicle{plate='OQW-2843', expDate=2018-03-28}
Vehicle{plate='OWK-7675', expDate=2017-03-11}
Vehicle{plate='OYL-8149', expDate=2017-04-07}
Vehicle{plate='OYU-8759', expDate=2017-02-06}
Vehicle{plate='PCG-1784', expDate=2017-08-17}
Vehicle{plate='PEC-1718', expDate=2018-01-01}
Vehicle{plate='PNN-7062', expDate=2017-09-28}
Vehicle{plate='PNT-4925', expDate=2017-01-14}
Vehicle{plate='PPQ-7457', expDate=2018-05-24}
Vehicle{plate='PSN-8223', expDate=2018-06-24}
Vehicle{plate='PYE-4457', expDate=2017-02-12}
Vehicle{plate='QAQ-5445', expDate=2017-03-04}
Vehicle{plate='QDW-4210', expDate=2018-07-28}
Vehicle{plate='QIF-7948', expDate=2018-04-02}
Vehicle{plate='QKX-5484', expDate=2017-08-03}
Vehicle{plate='QNE-9180', expDate=2017-04-23}
Vehicle{plate='QOI-1645', expDate=2017-02-18}
Vehicle{plate='QSJ-2017', expDate=2017-10-04}
Vehicle{plate='QXS-8836', expDate=2017-02-12}
Vehicle{plate='QYG-4104', expDate=2018-01-20}
Vehicle{plate='QZC-8928', expDate=2017-03-09}
Vehicle{plate='RDD-3939', expDate=2017-08-26}
Vehicle{plate='RNV-4212', expDate=2018-02-26}
Vehicle{plate='RRC-3964', expDate=2017-09-01}
Vehicle{plate='RSH-6645', expDate=2017-04-17}
Vehicle{plate='RSN-6860', expDate=2017-01-21}
Vehicle{plate='RUJ-9377', expDate=2017-01-10}
Vehicle{plate='SBY-7111', expDate=2017-06-14}
Vehicle{plate='SEP-5668', expDate=2017-05-31}
Vehicle{plate='SHS-3104', expDate=2017-10-31}
Vehicle{plate='SIE-9033', expDate=2018-02-07}
Vehicle{plate='SIN-3618', expDate=2017-10-11}
Vehicle{plate='SMO-8466', expDate=2018-05-13}
Vehicle{plate='SUR-1583', expDate=2018-02-08}
Vehicle{plate='SXL-4024', expDate=2017-10-23}
Vehicle{plate='TAQ-9726', expDate=2017-03-09}
Vehicle{plate='TEJ-7131', expDate=2017-03-25}
Vehicle{plate='TIK-2599', expDate=2017-03-27}
Vehicle{plate='TJK-7325', expDate=2017-12-23}
Vehicle{plate='TQX-7957', expDate=2018-08-04}
Vehicle{plate='TUW-7660', expDate=2018-05-27}
Vehicle{plate='UFV-5087', expDate=2017-09-08}
Vehicle{plate='UMD-3622', expDate=2017-09-15}
Vehicle{plate='UPD-8579', expDate=2018-03-20}
Vehicle{plate='UPM-4592', expDate=2017-05-19}
Vehicle{plate='UXH-8389', expDate=2017-11-20}
Vehicle{plate='UZS-3380', expDate=2017-04-26}
Vehicle{plate='UZX-6778', expDate=2018-03-08}
Vehicle{plate='VAA-4974', expDate=2018-05-29}
Vehicle{plate='VEW-4153', expDate=2017-12-09}
Vehicle{plate='VLO-8569', expDate=2017-03-23}
Vehicle{plate='VPJ-1267', expDate=2018-03-26}
Vehicle{plate='VRP-6444', expDate=2018-06-19}
Vehicle{plate='VST-1133', expDate=2018-07-03}
Vehicle{plate='VXN-1014', expDate=2018-02-25}
Vehicle{plate='WCL-1423', expDate=2017-08-07}
Vehicle{plate='WDW-3190', expDate=2018-08-02}
Vehicle{plate='WGA-5858', expDate=2017-09-29}
Vehicle{plate='WGT-5196', expDate=2017-12-01}
Vehicle{plate='WGV-9417', expDate=2018-04-30}
Vehicle{plate='WMA-8707', expDate=2018-06-10}
Vehicle{plate='WMG-59', expDate=2017-04-14}
Vehicle{plate='WNW-6828', expDate=2017-10-20}
Vehicle{plate='WVC-8039', expDate=2017-12-05}
Vehicle{plate='WVZ-7955', expDate=2017-08-10}
Vehicle{plate='WWP-2910', expDate=2017-02-06}
Vehicle{plate='WZA-9761', expDate=2018-03-28}
Vehicle{plate='WZQ-4269', expDate=2017-02-01}
Vehicle{plate='XBE-3429', expDate=2017-04-18}
Vehicle{plate='XFT-6671', expDate=2017-12-24}
Vehicle{plate='XKS-3946', expDate=2018-03-20}
Vehicle{plate='XLE-1184', expDate=2017-07-11}
Vehicle{plate='XMJ-3669', expDate=2018-06-28}
Vehicle{plate='XRD-7894', expDate=2017-09-29}
Vehicle{plate='XTS-2631', expDate=2017-08-21}
Vehicle{plate='XUG-7968', expDate=2017-01-03}
Vehicle{plate='XWZ-1653', expDate=2017-04-17}
Vehicle{plate='YAN-1862', expDate=2017-05-25}
Vehicle{plate='YIV-8116', expDate=2017-04-21}
Vehicle{plate='YNT-1310', expDate=2017-09-05}
Vehicle{plate='YQP-2358', expDate=2017-12-06}
Vehicle{plate='YQR-9422', expDate=2018-09-09}
Vehicle{plate='YVZ-3934', expDate=2017-04-18}
Vehicle{plate='ZBO-5998', expDate=2018-01-16}
Vehicle{plate='ZCP-1963', expDate=2018-08-21}
Vehicle{plate='ZLC-5910', expDate=2017-07-24}
Vehicle{plate='ZNL-8179', expDate=2017-05-11}
Vehicle{plate='ZPU-2940', expDate=2017-12-15}
Vehicle{plate='ZQT-7027', expDate=2017-04-10}
Vehicle{plate='ZSN-4750', expDate=2017-10-24}
Vehicle{plate='ZUV-2404', expDate=2017-02-01}
Vehicle{plate='ZVM-8589', expDate=2018-01-06}
Vehicle{plate='ZWR-6857', expDate=2018-01-13}
